Name       ,vCPU,ECU ,RAM GB,Storage (GB),Net Storage (GB) ,Networking (Mb),Price ,Spot Price,Monthly Price,Monthly Spot Price,Generation,Family           
t2.micro   ,1   ,0.1 ,1     ,EBS Only    ,0                ,75             ,$0.013,          ,$9.6720      ,                  ,2         ,General Purpose  
t1.micro   ,1   ,0.1 ,0.615 ,EBS Only    ,0                ,10             ,$0.020,$0.0031   ,$14.8800     ,$2.3064           ,1         ,General Purpose  
t2.small   ,1   ,0.2 ,2     ,EBS Only    ,0                ,75             ,$0.026,          ,$19.3440     ,                  ,2         ,General Purpose  
m1.small   ,1   ,1   ,1.7   ,1 x 160     ,160              ,50             ,$0.044,$0.0071   ,$32.7360     ,$5.2824           ,1         ,General Purpose  
t2.medium  ,2   ,0.3 ,4     ,EBS Only    ,0                ,75             ,$0.052,          ,$38.6880     ,                  ,2         ,General Purpose  
m3.medium  ,1   ,3   ,3.75  ,1 x 4 SSD   ,4                ,100            ,$0.070,$0.1100   ,$52.0800     ,$81.8400          ,3         ,General Purpose  
m1.medium  ,1   ,2   ,3.75  ,1 x 410     ,410              ,100            ,$0.087,$0.0081   ,$64.7280     ,$6.0264           ,1         ,General Purpose  
c3.large   ,2   ,7   ,3.75  ,2 x 16 SSD  ,32               ,100            ,$0.105,$0.0160   ,$78.1200     ,$11.9040          ,3         ,Compute Optimized
c1.medium  ,2   ,5   ,1.7   ,1 x 350     ,350              ,100            ,$0.130,$0.0160   ,$96.7200     ,$11.9040          ,1         ,Compute Optimized
m3.large   ,2   ,6.5 ,7.5   ,1 x 32 SSD  ,32               ,100            ,$0.140,$0.2000   ,$104.1600    ,$148.8000         ,3         ,General Purpose  
m1.large   ,2   ,4   ,7.5   ,2 x 420     ,420              ,100            ,$0.175,$0.0161   ,$130.2000    ,$11.9784          ,1         ,General Purpose  
r3.large   ,2   ,6.5 ,15    ,1 x 32 SSD  ,32               ,100            ,$0.175,$0.0160   ,$130.2000    ,$11.9040          ,3         ,Memory Optimized 
c3.xlarge  ,4   ,14  ,7.5   ,2 x 40 SSD  ,80               ,100            ,$0.210,$0.0300   ,$156.2400    ,$22.3200          ,3         ,Compute Optimized
m2.xlarge  ,2   ,6.5 ,17.1  ,1 x 420     ,420              ,100            ,$0.245,          ,$182.2800    ,                  ,2         ,Memory Optimized 
m3.xlarge  ,4   ,13  ,15    ,2 x 40 SSD  ,80               ,1000           ,$0.280,$0.4500   ,$208.3200    ,$334.8000         ,3         ,General Purpose  
m1.xlarge  ,4   ,8   ,15    ,4 x 420     ,1680             ,1000           ,$0.350,$0.0330   ,$260.4000    ,$24.5520          ,1         ,General Purpose  
r3.xlarge  ,4   ,13  ,30.5  ,1 x 80 SSD  ,80               ,100            ,$0.350,$0.0300   ,$260.4000    ,$22.3200          ,3         ,Memory Optimized 
c3.2xlarge ,8   ,28  ,15    ,2 x 80 SSD  ,160              ,1000           ,$0.420,$0.0600   ,$312.4800    ,$44.6400          ,3         ,Compute Optimized
m2.2xlarge ,4   ,13  ,34.2  ,1 x 850     ,850              ,100            ,$0.490,          ,$364.5600    ,                  ,2         ,Memory Optimized 
c1.xlarge  ,8   ,20  ,7     ,4 x 420     ,1680             ,1000           ,$0.520,$0.0600   ,$386.8800    ,$44.6400          ,1         ,Compute Optimized
m3.2xlarge ,8   ,26  ,30    ,2 x 80 SSD  ,160              ,1000           ,$0.560,$1.0000   ,$416.6400    ,$744.0000         ,3         ,General Purpose  
g2.2xlarge ,8   ,26  ,15    ,60 SSD      ,60               ,1000           ,$0.650,$0.0600   ,$483.6000    ,$44.6400          ,2         ,GPU Instances    
r3.2xlarge ,8   ,26  ,61    ,1 x 160 SSD ,160              ,1000           ,$0.700,$0.0600   ,$520.8000    ,$44.6400          ,3         ,Memory Optimized 
c3.4xlarge ,16  ,55  ,30    ,2 x 160 SSD ,320              ,1000           ,$0.840,$0.1300   ,$624.9600    ,$96.7200          ,3         ,Compute Optimized
i2.xlarge  ,4   ,14  ,30.5  ,1 x 800 SSD ,800              ,100            ,$0.853,          ,$634.6320    ,                  ,2         ,Storage Optimized
m2.4xlarge ,8   ,26  ,68.4  ,2 x 840     ,1680             ,1000           ,$0.980,          ,$729.1200    ,                  ,2         ,Memory Optimized 
r3.4xlarge ,16  ,52  ,122   ,1 x 320 SSD ,320              ,1000           ,$1.400,$0.1300   ,$1041.6000   ,$96.7200          ,3         ,Memory Optimized 
c3.8xlarge ,32  ,108 ,60    ,2 x 320 SSD ,640              ,10000          ,$1.680,$0.2600   ,$1249.9200   ,$193.4400         ,3         ,Compute Optimized
i2.2xlarge ,8   ,27  ,61    ,2 x 800 SSD ,1600             ,1000           ,$1.705,          ,$1268.5200   ,                  ,2         ,Storage Optimized
cc2.8xlarge,32  ,88  ,60.5  ,4 x 840     ,3360             ,10000          ,$2.000,$0.2000   ,$1488.0000   ,$148.8000         ,2         ,Compute Optimized
